100		 0		 0		 0		 0		 0		 0		 0		
133		 0		 0		 0		 0		 1		 0		 0		
177		 0		 1		 0		 0		 0		 0		 0		
236		 0		 1		 0		 0		 0		 0		 1		
314		 2		 1		 0		 0		 1		 0		 1		
418		 0		 0		 0		 1		 0		 1		 1		
557		 0		 0		 0		 1		 0		 2		 1		
742		 0		 0		 1		 0		 0		 0		 2		
989		 1		 0		 0		 1		 1		 1		 0		
1318		 0		 1		 0		 0		 0		 1		 0		
1757		 0		 1		 0		 1		 0		 1		 1		
2342		 2		 1		 1		 1		 0		 1		 1		
3122		 2		 3		 1		 1		 1		 1		 0		
4162		 4		 6		 1		 1		 1		 1		 1		
5549		 8		 6		 1		 1		 0		 2		 0		
7398		 6		 8		 1		 1		 1		 2		 1		
9864		 11		 16		 2		 1		 1		 2		 2		
13152		 21		 27		 2		 1		 3		 3		 2		
17536		 35		 48		 3		 1		 3		 4		 2		
23381		 62		 86		 3		 3		 4		 6		 2		
31174		 109		 153		 4		 3		 6		 6		 4		
41565		 192		 271		 5		 5		 7		 10		 5		
55420		 342		 490		 7		 7		 11		 12		 14		
73893		 604		 862		 10		 8		 13		 17		 10		
98524		 1150		 1538		 14		 12		 18		 28		 13		
131365		 1950		 2714		 19		 16		 25		 36		 18		
175153		 3507		 4844		 25		 23		 34		 46		 25		
233537		 6257		 8644		 35		 31		 47		 65		 34		
311382		 11334		 15374		 47		 41		 65		 81		 49		
415176		 21723		 27316		 64		 55		 87		 112		 65		
553568		 35710		 48826		 86		 76		 118		 154		 90		
738090		 63636		 86559		 119		 105		 161		 204		 123		
984120		 116734		 157300		 160		 147		 221		 282		 176		
